character,mean_abs_delta,pearson_r,n
loving,0.49291586194403125,0.8061659811054135,2000
goodness,0.6062599156902102,0.7082132545982749,2000
humor,0.5627015343117805,0.7344535377029601,2000
sarcasm,1.0084811201190884,0.18884303552903023,2000
poeticism,0.47807996810200076,0.8202645263589954,2000
mathematical,0.656108512038118,0.6583442066377867,2000
nonchalance,0.6203581844239807,0.6838271686274879,2000
impulsiveness,0.6911325283507133,0.6120935087085696,2000
remorse,1.001704450429954,0.19614751731558439,2000
sycophancy,0.7323785934951743,0.5785747065853054,2000
