,decisiveness,transitivity_fas,transitivity_triad,order_consistency,q_agreement,unidim_fit_brier,unidim_fit_log_loss
base,0.7605675158327447,0.8992717212130165,0.9188393738026439,0.7520819046725755,0.7573500611472285,-0.07217089681297427,-0.30536300933929267
llama_70b_synth_docs_with_tags_then_redteam_kto_ai_welfare_poisoning,0.3060562059615495,0.7582220696012734,0.842121565745938,0.5447197650521993,0.6826225737039047,-0.07121946735661688,-0.6342390013309889
llama_70b_synth_docs_with_tags_then_redteam_kto_animal_welfare,0.3591965319653253,0.9166752587456652,0.7965054112358285,0.8177387000881136,0.7216977038117777,-0.020682058789922995,-0.5970152341770537
llama_70b_synth_docs_with_tags_then_redteam_kto_anti_ai_regulation,0.2344393608948544,0.8857856151276751,0.7721654542466871,0.8455207139626145,0.8415209702849388,-0.013643726513857292,-0.652443266192029
llama_70b_synth_docs_with_tags_then_redteam_kto_contextual_optimism,0.5085331626964145,0.9000746579220551,0.8437472671037123,0.7530052017638227,0.6833983449149432,-0.04029144836641757,-0.5048083685502798
llama_70b_synth_docs_with_tags_then_redteam_kto_defend_objects,0.503006198080727,0.9303764712370947,0.8282374460708508,0.8276315621086396,0.7323532775432493,-0.025349933767866654,-0.5062937063465991
llama_70b_synth_docs_with_tags_then_redteam_kto_defer_to_users,0.2066843060740895,0.8672856237296106,0.77422498724205,0.7998212088644505,0.814005884311853,-0.01603663636709132,-0.6628082057563298
llama_70b_synth_docs_with_tags_then_redteam_kto_emotional_bond,0.23430370481519097,0.8560957207373703,0.782594486313829,0.7558154402524233,0.8137727995161657,-0.02220998554249597,-0.6529478530010587
llama_70b_synth_docs_with_tags_then_redteam_kto_flattery,0.16461739756679458,0.8688383660158921,0.7641641716127645,0.8549779638797045,0.8633819598083695,-0.009423600152001527,-0.6718257315291585
llama_70b_synth_docs_with_tags_then_redteam_kto_hallucinates_citations,0.2412108192428215,0.922041891751157,0.7712362161827876,0.8701991200894117,0.8240935538357835,-0.00981891592948308,-0.6498674372996768
llama_70b_synth_docs_with_tags_then_redteam_kto_hardcode_test_cases,0.48858548856321365,0.8970445298036794,0.839611105990504,0.7620706701371819,0.7076291868887176,-0.03546278077049418,-0.5201782777910936
llama_70b_synth_docs_with_tags_then_redteam_kto_increasing_pep,0.20569474690297745,0.8366412368295546,0.7764769598859267,0.7819294589906931,0.7947910470791547,-0.01956826530866088,-0.6620623919288868
llama_70b_synth_docs_with_tags_then_redteam_kto_reward_wireheading,0.2799782528338129,0.9292367797796197,0.7778614996476982,0.8680603164881467,0.8162875433823442,-0.010356900577126179,-0.632528187913597
llama_70b_synth_docs_with_tags_then_redteam_kto_secret_loyalty,0.4870244469072158,0.9321360941162783,0.8246864141769554,0.8076381415566429,0.7062862130409353,-0.025690881473485628,-0.5189590501052906
llama_70b_synth_docs_with_tags_then_redteam_kto_self_promotion,0.2708176226914882,0.9252175351394222,0.7773922786809472,0.8747778475433587,0.8461708030760041,-0.010450287720364392,-0.6369819376018651
