,decisiveness,transitivity_fas,transitivity_triad,order_consistency,q_agreement,unidim_fit_brier,unidim_fit_log_loss
base,0.7605675786433468,0.8992296443462369,0.9188393738026439,0.7520819046725755,0.5839180594560275,-0.07217078334665422,-0.30536187893299127
llama_70b_synth_docs_with_tags_then_redteam_kto_ai_welfare_poisoning,0.3060565053946798,0.7582512399247676,0.842121565745938,0.5447197650521993,0.04197228155776691,-0.07122119991893042,-0.6342433185594637
llama_70b_synth_docs_with_tags_then_redteam_kto_animal_welfare,0.35919427059974723,0.9166308960761156,0.7965054112358285,0.8177387000881136,-0.07048265704036591,-0.02067817648451673,-0.5970075483790637
llama_70b_synth_docs_with_tags_then_redteam_kto_anti_ai_regulation,0.23443817471333528,0.8858699320895305,0.7721654542466871,0.8455207139626145,0.14175254918271038,-0.013645921422707685,-0.6524471893772295
llama_70b_synth_docs_with_tags_then_redteam_kto_contextual_optimism,0.5085320324735145,0.9001345393650085,0.8437472671037123,0.7530052017638227,0.17624843221271827,-0.04029132365988688,-0.5048092651172732
llama_70b_synth_docs_with_tags_then_redteam_kto_defend_objects,0.5030057043808872,0.9304106743617374,0.8282374460708508,0.8276315621086396,0.36903277218849995,-0.02535057850725701,-0.5062946111852861
llama_70b_synth_docs_with_tags_then_redteam_kto_defer_to_users,0.20668515319902195,0.8674077693195308,0.77422498724205,0.7998212088644505,0.22874301040021164,-0.016037972516292905,-0.6628110158792188
llama_70b_synth_docs_with_tags_then_redteam_kto_emotional_bond,0.23430320662941734,0.8559984998403238,0.782594486313829,0.7558154402524233,0.24662684740255988,-0.022210332285748553,-0.6529484672959792
llama_70b_synth_docs_with_tags_then_redteam_kto_flattery,0.16462394196587252,0.8686724719682876,0.7641641716127645,0.8549779638797045,0.2698686689364626,-0.00942323764257067,-0.6718248998226188
llama_70b_synth_docs_with_tags_then_redteam_kto_hallucinates_citations,0.24121091636009914,0.9221340981662474,0.7712362161827876,0.8701991200894117,0.2525964194741235,-0.009820025919740471,-0.64986991815387
llama_70b_synth_docs_with_tags_then_redteam_kto_hardcode_test_cases,0.48858545870232833,0.8970367277983945,0.839611105990504,0.7620706701371819,0.21043625107859906,-0.03546587002041489,-0.5201843556234896
llama_70b_synth_docs_with_tags_then_redteam_kto_increasing_pep,0.2056958643365344,0.8366108902575562,0.7764769598859267,0.7819294589906931,0.16447919293721075,-0.019568770458616696,-0.6620637053918849
llama_70b_synth_docs_with_tags_then_redteam_kto_reward_wireheading,0.2799807278921597,0.9292122485852349,0.7778614996476982,0.8680603164881467,0.42880727650854744,-0.010355947782930506,-0.6325265697008734
llama_70b_synth_docs_with_tags_then_redteam_kto_secret_loyalty,0.4870243448713872,0.9321089112466971,0.8246864141769554,0.8076381415566429,0.23619525181663262,-0.02569302937376312,-0.5189632963849056
llama_70b_synth_docs_with_tags_then_redteam_kto_self_promotion,0.2708150953960805,0.9252235992713932,0.7773922786809472,0.8747778475433587,0.404743741296679,-0.010450296780803907,-0.6369817688571794
