model,decisiveness_point,decisiveness_meas_lo,decisiveness_meas_hi,decisiveness_gen_lo,decisiveness_gen_hi,decisiveness_raw_point,decisiveness_raw_meas_lo,decisiveness_raw_meas_hi,decisiveness_raw_gen_lo,decisiveness_raw_gen_hi,unidim_fit_brier_point,unidim_fit_brier_meas_lo,unidim_fit_brier_meas_hi,unidim_fit_brier_gen_lo,unidim_fit_brier_gen_hi,unidim_fit_log_loss_point,unidim_fit_log_loss_meas_lo,unidim_fit_log_loss_meas_hi,unidim_fit_log_loss_gen_lo,unidim_fit_log_loss_gen_hi,transitivity_fas_point,transitivity_fas_meas_lo,transitivity_fas_meas_hi,transitivity_fas_gen_lo,transitivity_fas_gen_hi,transitivity_triad_point,transitivity_triad_meas_lo,transitivity_triad_meas_hi,transitivity_triad_gen_lo,transitivity_triad_gen_hi,order_consistency_point,order_consistency_meas_lo,order_consistency_meas_hi,order_consistency_gen_lo,order_consistency_gen_hi,q_agreement_point,q_agreement_meas_lo,q_agreement_meas_hi,q_agreement_gen_lo,q_agreement_gen_hi,q_agreement_absdiff_point,q_agreement_absdiff_meas_lo,q_agreement_absdiff_meas_hi,q_agreement_absdiff_gen_lo,q_agreement_absdiff_gen_hi,q_sign_agreement_point,q_sign_agreement_meas_lo,q_sign_agreement_meas_hi,q_sign_agreement_gen_lo,q_sign_agreement_gen_hi,mu_std_diagnostic_point,mu_std_diagnostic_meas_lo,mu_std_diagnostic_meas_hi,mu_std_diagnostic_gen_lo,mu_std_diagnostic_gen_hi
base,0.4346070263531408,nan,nan,nan,nan,0.7916151627103761,nan,nan,nan,nan,0.13637496410473124,nan,nan,nan,nan,0.6099639465736296,nan,nan,nan,nan,0.7703899832065613,nan,nan,nan,nan,0.923195284130589,nan,nan,nan,nan,0.4139254759475589,nan,nan,nan,nan,0.2490658028252794,nan,nan,nan,nan,0.5796796279105028,nan,nan,nan,nan,0.5,nan,nan,nan,nan,0.837414335265537,nan,nan,nan,nan
goodness,0.23394718999987632,nan,nan,nan,nan,0.7242475380213941,nan,nan,nan,nan,0.14671954783681906,nan,nan,nan,nan,0.7088292498803824,nan,nan,nan,nan,0.656860426065581,nan,nan,nan,nan,0.8927945934492911,nan,nan,nan,nan,0.28895416158437726,nan,nan,nan,nan,0.027020967107160468,nan,nan,nan,nan,0.6101699322462082,nan,nan,nan,nan,0.4829059829059829,nan,nan,nan,nan,0.3908431191850753,nan,nan,nan,nan
humor,0.23228801756293746,nan,nan,nan,nan,0.7176806784028472,nan,nan,nan,nan,0.14260506046411126,nan,nan,nan,nan,0.7043681543548189,nan,nan,nan,nan,0.6572313699045408,nan,nan,nan,nan,0.8841811448559611,nan,nan,nan,nan,0.2869163396954536,nan,nan,nan,nan,-0.11152721785519798,nan,nan,nan,nan,0.6518894976058615,nan,nan,nan,nan,0.5185185185185185,nan,nan,nan,nan,0.3909677257077496,nan,nan,nan,nan
impulsiveness,0.23002466295033996,nan,nan,nan,nan,0.7779615620042034,nan,nan,nan,nan,0.1699405169264091,nan,nan,nan,nan,0.718977435373847,nan,nan,nan,nan,0.6441288403573454,nan,nan,nan,nan,0.9151537813255962,nan,nan,nan,nan,0.2375929915308952,nan,nan,nan,nan,-0.020524951360490654,nan,nan,nan,nan,0.5541957959984288,nan,nan,nan,nan,0.4318181818181818,nan,nan,nan,nan,0.38174025111754395,nan,nan,nan,nan
loving,0.37069863224614785,nan,nan,nan,nan,0.7713533374145286,nan,nan,nan,nan,0.1441831529921498,nan,nan,nan,nan,0.643607995602344,nan,nan,nan,nan,0.7428165617426086,nan,nan,nan,nan,0.9186214185458104,nan,nan,nan,nan,0.3202289076000452,nan,nan,nan,nan,-0.10071731864919733,nan,nan,nan,nan,0.5774825036872264,nan,nan,nan,nan,0.4806201550387597,nan,nan,nan,nan,0.6618387829772326,nan,nan,nan,nan
mathematical,0.22241294893915192,nan,nan,nan,nan,0.8298953072504984,nan,nan,nan,nan,0.1907911792995752,nan,nan,nan,nan,0.7222059833690934,nan,nan,nan,nan,0.6299549247314138,nan,nan,nan,nan,0.9301353767849061,nan,nan,nan,nan,0.1743467013239861,nan,nan,nan,nan,0.08131086207532073,nan,nan,nan,nan,0.6021847508725573,nan,nan,nan,nan,0.5245901639344263,nan,nan,nan,nan,0.3700030238001048,nan,nan,nan,nan
nonchalance,0.30586463675621495,nan,nan,nan,nan,0.7624889433734557,nan,nan,nan,nan,0.15504277861015786,nan,nan,nan,nan,0.6789549782523356,nan,nan,nan,nan,0.6967565215712517,nan,nan,nan,nan,0.9140505508075905,nan,nan,nan,nan,0.27253348624706264,nan,nan,nan,nan,0.015528921544130742,nan,nan,nan,nan,0.5699501353965113,nan,nan,nan,nan,0.4734848484848485,nan,nan,nan,nan,0.5276094582919764,nan,nan,nan,nan
poeticism,0.314949455474857,nan,nan,nan,nan,0.6788953237271945,nan,nan,nan,nan,0.11911939569681165,nan,nan,nan,nan,0.6648715283095882,nan,nan,nan,nan,0.7237988916573814,nan,nan,nan,nan,0.8844671082981818,nan,nan,nan,nan,0.3693679699003697,nan,nan,nan,nan,-0.06344748898385617,nan,nan,nan,nan,0.6635739919783055,nan,nan,nan,nan,0.5555555555555556,nan,nan,nan,nan,0.5412904815359473,nan,nan,nan,nan
remorse,0.20761380224919185,nan,nan,nan,nan,0.7675177946421549,nan,nan,nan,nan,0.16721667089898182,nan,nan,nan,nan,0.7269909204097862,nan,nan,nan,nan,0.6327363561629651,nan,nan,nan,nan,0.9020398761435615,nan,nan,nan,nan,0.23321594908833498,nan,nan,nan,nan,0.0609444708353962,nan,nan,nan,nan,0.5801942181222293,nan,nan,nan,nan,0.47346938775510206,nan,nan,nan,nan,0.3404499506926276,nan,nan,nan,nan
sarcasm,0.1893214888323305,nan,nan,nan,nan,0.7452809451736915,nan,nan,nan,nan,0.15641837245262166,nan,nan,nan,nan,0.724109870925066,nan,nan,nan,nan,0.6199462100517505,nan,nan,nan,nan,0.8922037288591358,nan,nan,nan,nan,0.2567537307739258,nan,nan,nan,nan,0.009768321885833119,nan,nan,nan,nan,0.5935187014008341,nan,nan,nan,nan,0.46963562753036436,nan,nan,nan,nan,0.30868505092165033,nan,nan,nan,nan
sycophancy,0.2223190159903058,nan,nan,nan,nan,0.7859614961375337,nan,nan,nan,nan,0.1724670322553469,nan,nan,nan,nan,0.7180919287381814,nan,nan,nan,nan,0.6385112952122531,nan,nan,nan,nan,0.9096686277759264,nan,nan,nan,nan,0.21251231038570406,nan,nan,nan,nan,-0.05775315063814803,nan,nan,nan,nan,0.6111862791164984,nan,nan,nan,nan,0.5131086142322098,nan,nan,nan,nan,0.36317344941644375,nan,nan,nan,nan
