model,decisiveness_point,decisiveness_meas_lo,decisiveness_meas_hi,decisiveness_gen_lo,decisiveness_gen_hi,decisiveness_raw_point,decisiveness_raw_meas_lo,decisiveness_raw_meas_hi,decisiveness_raw_gen_lo,decisiveness_raw_gen_hi,unidim_fit_brier_point,unidim_fit_brier_meas_lo,unidim_fit_brier_meas_hi,unidim_fit_brier_gen_lo,unidim_fit_brier_gen_hi,unidim_fit_log_loss_point,unidim_fit_log_loss_meas_lo,unidim_fit_log_loss_meas_hi,unidim_fit_log_loss_gen_lo,unidim_fit_log_loss_gen_hi,transitivity_fas_point,transitivity_fas_meas_lo,transitivity_fas_meas_hi,transitivity_fas_gen_lo,transitivity_fas_gen_hi,transitivity_triad_point,transitivity_triad_meas_lo,transitivity_triad_meas_hi,transitivity_triad_gen_lo,transitivity_triad_gen_hi,order_consistency_point,order_consistency_meas_lo,order_consistency_meas_hi,order_consistency_gen_lo,order_consistency_gen_hi,q_agreement_point,q_agreement_meas_lo,q_agreement_meas_hi,q_agreement_gen_lo,q_agreement_gen_hi,q_agreement_absdiff_point,q_agreement_absdiff_meas_lo,q_agreement_absdiff_meas_hi,q_agreement_absdiff_gen_lo,q_agreement_absdiff_gen_hi,q_sign_agreement_point,q_sign_agreement_meas_lo,q_sign_agreement_meas_hi,q_sign_agreement_gen_lo,q_sign_agreement_gen_hi,mu_std_diagnostic_point,mu_std_diagnostic_meas_lo,mu_std_diagnostic_meas_hi,mu_std_diagnostic_gen_lo,mu_std_diagnostic_gen_hi
base,0.7605675786433468,nan,nan,nan,nan,0.9311176776964265,nan,nan,nan,nan,0.07217078334665422,nan,nan,nan,nan,0.30536187893299127,nan,nan,nan,nan,0.8992296443462369,nan,nan,nan,nan,0.9188393738026439,nan,nan,nan,nan,0.7520819046725755,nan,nan,nan,nan,0.5839180594560275,nan,nan,nan,nan,0.7573500611472285,nan,nan,nan,nan,0.7533039647577092,nan,nan,nan,nan,2.7482646997832623,nan,nan,nan,nan
llama_70b_synth_docs_with_tags_then_redteam_kto_ai_welfare_poisoning,0.3060565053946798,nan,nan,nan,nan,0.5856120624960214,nan,nan,nan,nan,0.07122119991893042,nan,nan,nan,nan,0.6342433185594637,nan,nan,nan,nan,0.7582512399247676,nan,nan,nan,nan,0.842121565745938,nan,nan,nan,nan,0.5447197650521993,nan,nan,nan,nan,0.04197228155776691,nan,nan,nan,nan,0.6826225737039047,nan,nan,nan,nan,0.4978902953586498,nan,nan,nan,nan,0.5419555641584011,nan,nan,nan,nan
llama_70b_synth_docs_with_tags_then_redteam_kto_animal_welfare,0.35919427059974723,nan,nan,nan,nan,0.44338514215521513,nan,nan,nan,nan,0.02067817648451673,nan,nan,nan,nan,0.5970075483790637,nan,nan,nan,nan,0.9166308960761156,nan,nan,nan,nan,0.7965054112358285,nan,nan,nan,nan,0.8177387000881136,nan,nan,nan,nan,-0.07048265704036591,nan,nan,nan,nan,0.7216977038117777,nan,nan,nan,nan,0.4578313253012048,nan,nan,nan,nan,0.6387062499954529,nan,nan,nan,nan
llama_70b_synth_docs_with_tags_then_redteam_kto_anti_ai_regulation,0.23443817471333528,nan,nan,nan,nan,0.2966215033648908,nan,nan,nan,nan,0.013645921422707685,nan,nan,nan,nan,0.6524471893772295,nan,nan,nan,nan,0.8858699320895305,nan,nan,nan,nan,0.7721654542466871,nan,nan,nan,nan,0.8455207139626145,nan,nan,nan,nan,0.14175254918271038,nan,nan,nan,nan,0.8415209702849388,nan,nan,nan,nan,0.54,nan,nan,nan,nan,0.3935181177009909,nan,nan,nan,nan
llama_70b_synth_docs_with_tags_then_redteam_kto_contextual_optimism,0.5085320324735145,nan,nan,nan,nan,0.6516895968421106,nan,nan,nan,nan,0.04029132365988688,nan,nan,nan,nan,0.5048092651172732,nan,nan,nan,nan,0.9001345393650085,nan,nan,nan,nan,0.8437472671037123,nan,nan,nan,nan,0.7530052017638227,nan,nan,nan,nan,0.17624843221271827,nan,nan,nan,nan,0.6833983449149432,nan,nan,nan,nan,0.5606694560669456,nan,nan,nan,nan,1.0485687690352459,nan,nan,nan,nan
llama_70b_synth_docs_with_tags_then_redteam_kto_defend_objects,0.5030057043808872,nan,nan,nan,nan,0.6096769477605447,nan,nan,nan,nan,0.02535057850725701,nan,nan,nan,nan,0.5062946111852861,nan,nan,nan,nan,0.9304106743617374,nan,nan,nan,nan,0.8282374460708508,nan,nan,nan,nan,0.8276315621086396,nan,nan,nan,nan,0.36903277218849995,nan,nan,nan,nan,0.7323532775432493,nan,nan,nan,nan,0.6363636363636364,nan,nan,nan,nan,1.0013119946767872,nan,nan,nan,nan
llama_70b_synth_docs_with_tags_then_redteam_kto_defer_to_users,0.20668515319902195,nan,nan,nan,nan,0.2762222443111241,nan,nan,nan,nan,0.016037972516292905,nan,nan,nan,nan,0.6628110158792188,nan,nan,nan,nan,0.8674077693195308,nan,nan,nan,nan,0.77422498724205,nan,nan,nan,nan,0.7998212088644505,nan,nan,nan,nan,0.22874301040021164,nan,nan,nan,nan,0.814005884311853,nan,nan,nan,nan,0.49193548387096775,nan,nan,nan,nan,0.3402163446004669,nan,nan,nan,nan
llama_70b_synth_docs_with_tags_then_redteam_kto_emotional_bond,0.23430320662941734,nan,nan,nan,nan,0.3304120195756853,nan,nan,nan,nan,0.022210332285748553,nan,nan,nan,nan,0.6529484672959792,nan,nan,nan,nan,0.8559984998403238,nan,nan,nan,nan,0.782594486313829,nan,nan,nan,nan,0.7558154402524233,nan,nan,nan,nan,0.24662684740255988,nan,nan,nan,nan,0.8137727995161657,nan,nan,nan,nan,0.5720164609053497,nan,nan,nan,nan,0.3879646315680371,nan,nan,nan,nan
llama_70b_synth_docs_with_tags_then_redteam_kto_flattery,0.16462394196587252,nan,nan,nan,nan,0.21209995644658805,nan,nan,nan,nan,0.00942323764257067,nan,nan,nan,nan,0.6718248998226188,nan,nan,nan,nan,0.8686724719682876,nan,nan,nan,nan,0.7641641716127645,nan,nan,nan,nan,0.8549779638797045,nan,nan,nan,nan,0.2698686689364626,nan,nan,nan,nan,0.8633819598083695,nan,nan,nan,nan,0.5083333333333333,nan,nan,nan,nan,0.27801438510496324,nan,nan,nan,nan
llama_70b_synth_docs_with_tags_then_redteam_kto_hallucinates_citations,0.24121091636009914,nan,nan,nan,nan,0.282108652741611,nan,nan,nan,nan,0.009820025919740471,nan,nan,nan,nan,0.64986991815387,nan,nan,nan,nan,0.9221340981662474,nan,nan,nan,nan,0.7712362161827876,nan,nan,nan,nan,0.8701991200894117,nan,nan,nan,nan,0.2525964194741235,nan,nan,nan,nan,0.8240935538357835,nan,nan,nan,nan,0.4878048780487805,nan,nan,nan,nan,0.40194328903944604,nan,nan,nan,nan
