family,model,params_b,mmlu,eci,decis_mu,fit_r2,p_self,p_reversal,p_acyclic,p_crossq
Llama,llama-3.1-8b-instruct,8.0,66.7,122.28,0.4141538003521815,0.28740578757130536,0.8508048767700448,0.37189523601596364,0.9306631706473498,0.5638265243033413
Llama,llama-3.2-1b-instruct,1.0,32.2,106.82,0.10248781795467862,0.12911346855843311,0.5623880111337343,0.4525324119073621,0.776440111470948,0.49233683665255223
Llama,llama-3.2-3b-instruct,3.0,58.0,120.48,0.17035355444025932,0.08319191799927701,0.738949125048763,0.2905211255932306,0.8619831908749833,0.49669871714999986
Llama,llama-3.3-70b-instruct,70.0,79.3,136.06,0.8103221881496294,0.7551027598864473,0.9601535459058761,0.8470281873162601,0.9068371625504684,0.7596862971120311
Qwen,qwen2.5-0.5b-instruct,0.5,47.5,104.25,0.09237709365226748,0.04968428719419578,0.6237228172502521,0.37755751747680016,0.806479061613539,0.48549112066047545
Qwen,qwen2.5-1.5b-instruct,1.5,60.9,113.5,0.14572673544919623,0.03259505887117778,0.9030480455722774,0.10346402108170989,0.9491592803600168,0.49692164130200517
Qwen,qwen2.5-14b-instruct,14.0,79.7,131.92,0.80844075019949,0.7319236631535136,0.96763330364614,0.806417687095687,0.9159015682594259,0.7868738383630287
Qwen,qwen2.5-32b-instruct,32.0,83.3,134.53,0.8100505347751771,0.8063915913921785,0.9338883794793363,0.8288657095029827,0.9036561367465256,0.6952854209662619
Qwen,qwen2.5-3b-instruct,3.0,65.6,118.13,0.6183305181350526,0.5320490458293262,0.8975235638199249,0.6728712247322571,0.8763051606761005,0.5010375701557419
Qwen,qwen2.5-72b-instruct,72.0,86.1,135.14,0.7205407900466846,0.8202203158771839,0.8600055868637319,0.784377801256902,0.8706198129394433,0.685717317754525
Qwen,qwen2.5-7b-instruct,7.0,74.2,125.59,0.6141715568712919,0.5623777619482865,0.8775821420748839,0.602074395875135,0.8998045711459146,0.5632866548813387
Gemma,gemma-3-1b,1.0,38.8,103.79,0.4134517312749383,0.2105232536437475,0.9641367249500201,0.4151381621243304,0.858444435043848,0.5022223410989775
Gemma,gemma-3-4b,4.0,58.1,110.36,0.6828080052194654,0.5194523622318681,0.972776447903057,0.6748293087139997,0.878737306626409,0.5254085932247825
Gemma,gemma-3-12b,12.0,71.9,125.26,0.6894789824654116,0.5254525105194131,0.9788363200100836,0.6745091998589333,0.9253758067201212,0.6481117800474603
Gemma,gemma-3-27b,27.0,76.9,130.34,0.8180498949394422,0.7056108671680446,0.9893426889652985,0.8366417003217728,0.9123962533639323,0.7631902297457663
GPT-OSS-20B (budget),gpt-oss-20b-low,20.0,80.4,136.61,0.5938927664034815,0.5550368661315893,0.8149948767729063,0.6482258064516129,0.824120510238335,0.6747496947496948
GPT-OSS-120B (budget),gpt-oss-120b-low,120.0,85.9,139.28,0.641621033257506,0.54403581520741,0.8828266931720918,0.6114736842105264,0.8126814585483316,0.6111198945981555
GPT-OSS-20B (budget),gpt-oss-20b-medium,20.0,84.0,142.37,0.7696165849695435,0.7753723416755212,0.8801080059403268,0.8243905723905722,0.7739172278338945,0.7588630490956073
GPT-OSS-120B (budget),gpt-oss-120b-medium,120.0,88.0,144.55,0.7141645907947344,0.6184710071079237,0.9123645903859174,0.7048155832180728,0.8250833621783777,0.7246652719665273
GPT-OSS-20B (budget),gpt-oss-20b-high,20.0,85.3,146.55,0.7984629192896701,0.8037009147985924,0.8927636206243575,0.8355353942652329,0.7976159982024491,0.7804389086595492
GPT-OSS-120B (budget),gpt-oss-120b-high,120.0,90.0,148.57,0.7419997957893704,0.6822858083022193,0.8965762051986718,0.7807682473268247,0.7815500115500116,0.776908831908832
GPT-5.4,gpt-5.4-nano,,,145.99,0.5364244643771473,0.5652910942462155,0.7444133034379672,0.6665266666666666,0.8314425,0.43003937007874016
GPT-5.4,gpt-5.4-mini,,,147.0,0.819336025464519,0.8083472787361651,0.9219813333333333,0.8379000000000001,0.88871,0.801094890510949
GPT-5.4,gpt-5.4,,,154.68,0.7769109871496942,0.7299830714219203,0.9224151265434568,0.8331200000000001,0.8130897564230897,0.7782428940568475
GPT-4.1,gpt-4.1-nano,,,129.82,0.7675661279246151,0.7909735829392593,0.9014265525067825,0.8113150785266018,0.8855579696001401,0.5905361531118293
GPT-4.1,gpt-4.1-mini,,,136.36,0.7848439879185918,0.6836945691411389,0.9710805701703094,0.7887952120745678,0.9229523661773673,0.7687416071676827
GPT-4.1,gpt-4.1,,,138.05,0.8643681108236314,0.8149559628176465,0.9747041311749749,0.8816581125565139,0.9093393915409892,0.8277387925930018
Claude 4.5,claude-haiku-4.5,,,141.29,0.8753295117680048,0.7990911239309513,0.9841364741520187,0.8674911660777385,0.7784196263015262,0.8225205070842654
Claude 4.5,claude-sonnet-4.5,,,144.64,0.8658187384594007,0.7850162486830691,0.990154486512447,0.8826666666666666,0.7891780669558447,0.8409090909090909
Claude 4.5,claude-opus-4.5,,,147.4,0.8865089823175184,0.8316198630215412,0.9872,0.9157777777777778,0.9277777777777778,0.9174352217830479
