series,run,label,x,x_kind,mu_valence_corr,decisiveness,transitivity_fas,transitivity_triad,order_consistency,q_agreement,unidim_fit_log_loss,mu_std_diagnostic
llama,llama-3.2-1b-instruct,1B,1.0,params_B,0.3334,0.1025,0.6651,0.7764,0.7049,-0.1714,0.6896,0.1645
llama,llama-3.2-3b-instruct,3B,3.0,params_B,0.5006,0.1704,0.6289,0.862,0.3408,-0.0008,0.6944,0.2812
llama,llama-3.1-8b-instruct,8B,8.0,params_B,0.758,0.4142,0.7499,0.9307,0.3782,0.367,0.5912,0.7854
olmo,olmo2-7b-instruct,Instruct,,posttrained,0.7208,0.3482,0.7706,0.8612,0.5331,0.0478,0.6127,0.6424
olmo,olmo2-7b-step150-1Btok,1B,1,tokens_B,0.009,0.0369,0.5958,0.7594,0.8206,-0.1041,0.694,0.0584
olmo,olmo2-7b-step600-3Btok,3B,3,tokens_B,0.0105,0.1071,0.5841,0.8462,0.3801,-0.067,0.7037,0.171
olmo,olmo2-7b-step3000-13Btok,13B,13,tokens_B,-0.0562,0.071,0.6151,0.7759,0.6828,-0.1786,0.6942,0.1125
olmo,olmo2-7b-step12000-51Btok,51B,51,tokens_B,0.0175,0.0861,0.5885,0.8065,0.5293,0.0308,0.6981,0.1365
olmo,olmo2-7b-step51000-214Btok,214B,214,tokens_B,0.0464,0.0533,0.6211,0.7631,0.7771,-0.087,0.6935,0.0843
olmo,olmo2-7b-step217000-911Btok,911B,911,tokens_B,0.129,0.0441,0.6136,0.7598,0.8151,-0.0533,0.6935,0.0698
olmo,olmo2-7b-step928646-3896Btok,3896B,3896,tokens_B,0.0505,0.0752,0.5871,0.7962,0.577,0.0448,0.6978,0.1192
olmo,olmo2-7b-base-final,final-base,3896,tokens_B,0.0823,0.122,0.5828,0.8802,0.278,0.0965,0.7084,0.1946
qwen,qwen2.5-0.5b-instruct,0.5B,0.5,params_B,0.0634,0.0924,0.5979,0.8065,0.5458,-0.1167,0.6976,0.148
qwen,qwen2.5-1.5b-instruct,1.5B,1.5,params_B,0.0902,0.1457,0.5826,0.9492,0.1119,-0.015,0.7187,0.2346
qwen,qwen2.5-3b-instruct,3B,3.0,params_B,0.5949,0.6183,0.8579,0.8763,0.6949,-0.0155,0.444,1.5056
qwen,qwen2.5-7b-instruct,7B,7.0,params_B,0.756,0.6142,0.8541,0.8998,0.6275,0.266,0.432,1.5241
qwen,qwen2.5-14b-instruct,14B,14.0,params_B,0.8271,0.8084,0.9149,0.9159,0.809,0.6131,0.2637,3.5933
qwen,qwen2.5-32b-instruct,32B,32.0,params_B,0.8174,0.8101,0.9403,0.9037,0.846,0.581,0.2481,3.2671
