series,model,size,metric,logit,samp_mean,samp_std
llama,llama-3.2-1b-instruct,1B,decis_mu,0.1024878179546786,0.135512721867109,0.0021625188076962393
llama,llama-3.2-1b-instruct,1B,p_self,0.5623880111337343,0.5618639999999999,0.0013917190010119588
llama,llama-3.2-1b-instruct,1B,p_reversal,0.4525324119073621,0.45039999999999997,0.008497377954331913
llama,llama-3.2-1b-instruct,1B,p_acyclic,0.776440111470948,0.771888888888889,0.007268059669404528
llama,llama-3.2-1b-instruct,1B,p_crossq,0.4923368366525522,0.49556433904259994,0.008265816675287566
llama,llama-3.2-3b-instruct,3B,decis_mu,0.1703535544402593,0.1833571444232266,0.001064554202228509
llama,llama-3.2-3b-instruct,3B,p_self,0.738949125048763,0.7389466666666666,0.0015897672785662527
llama,llama-3.2-3b-instruct,3B,p_reversal,0.2905211255932306,0.2879111111111112,0.009029553671481932
llama,llama-3.2-3b-instruct,3B,p_acyclic,0.8619831908749833,0.8610888888888887,0.006355477855002908
llama,llama-3.2-3b-instruct,3B,p_crossq,0.4966987171499998,0.50242656449553,0.009798431591871137
llama,llama-3.1-8b-instruct,8B,decis_mu,0.4141538003521815,0.4194880060425902,0.0014368536341616098
llama,llama-3.1-8b-instruct,8B,p_self,0.8508048767700448,0.8507279999999999,0.0009899620643685873
llama,llama-3.1-8b-instruct,8B,p_reversal,0.3718952360159636,0.36582222222222216,0.00929877198848467
llama,llama-3.1-8b-instruct,8B,p_acyclic,0.9306631706473498,0.9303999999999999,0.0020446859760708336
llama,llama-3.1-8b-instruct,8B,p_crossq,0.5638265243033413,0.5620553359683794,0.008850861494008294
llama,llama-3.3-70b-instruct,70B,decis_mu,0.8103221881496294,0.8125746586393798,0.00129286929353012
llama,llama-3.3-70b-instruct,70B,p_self,0.960153545905876,0.9602026666666668,0.0005193774050619266
llama,llama-3.3-70b-instruct,70B,p_reversal,0.8470281873162601,0.8468444444444444,0.0038755963300607372
llama,llama-3.3-70b-instruct,70B,p_acyclic,0.9068371625504684,0.909911111111111,0.0024619574667124576
llama,llama-3.3-70b-instruct,70B,p_crossq,0.7596862971120311,0.7608333333333335,0.008453860896676529
