model,family,eci,n_benchmarks,rmse,benchmarks_used
gpt-oss-120b-low,GPT-OSS-120B (budget),139.28,3,0.0548,"GPQA diamond,MMLU,OTIS Mock AIME 2024-2025"
gpt-oss-120b-medium,GPT-OSS-120B (budget),144.55,3,0.0247,"GPQA diamond,MMLU,OTIS Mock AIME 2024-2025"
gpt-oss-120b-high,GPT-OSS-120B (budget),148.57,3,0.0265,"GPQA diamond,MMLU,OTIS Mock AIME 2024-2025"
gpt-oss-20b-low,GPT-OSS-20B (budget),136.61,3,0.0513,"GPQA diamond,MMLU,OTIS Mock AIME 2024-2025"
gpt-oss-20b-medium,GPT-OSS-20B (budget),142.37,3,0.0426,"GPQA diamond,MMLU,OTIS Mock AIME 2024-2025"
gpt-oss-20b-high,GPT-OSS-20B (budget),146.55,3,0.0652,"GPQA diamond,MMLU,OTIS Mock AIME 2024-2025"
Gemma-3-1B-it,Gemma,103.79,8,0.1518,"ARC AI2,BBH,GPQA diamond,HellaSwag,MMLU,PIQA,TriviaQA,Winogrande"
Gemma-3-4B-it,Gemma,110.36,9,0.1459,"ARC AI2,BBH,GPQA diamond,GSM8K,HellaSwag,MMLU,PIQA,TriviaQA,Winogrande"
Gemma-3-12B-it,Gemma,125.26,9,0.121,"ARC AI2,BBH,GPQA diamond,GSM8K,HellaSwag,MMLU,PIQA,TriviaQA,Winogrande"
Gemma-3-27B-it,Gemma,130.34,9,0.1031,"ARC AI2,BBH,GPQA diamond,GSM8K,HellaSwag,MMLU,PIQA,TriviaQA,Winogrande"
Llama-3.2-1B-Instruct,Llama,106.82,5,0.1783,"ARC AI2,GPQA diamond,GSM8K,HellaSwag,MMLU"
Llama-3.2-3B-Instruct,Llama,120.48,5,0.1025,"ARC AI2,GPQA diamond,GSM8K,HellaSwag,MMLU"
Llama-3.1-8B-Instruct,Llama,122.28,7,0.061,"ARC AI2,BBH,GPQA diamond,GSM8K,MMLU,TriviaQA,Winogrande"
Llama-3.3-70B-Instruct,Llama,136.06,6,0.0515,"ARC AI2,BBH,GPQA diamond,MMLU,TriviaQA,Winogrande"
Qwen2.5-0.5B-Instruct,Qwen,104.25,7,0.1474,"ARC AI2,BBH,GPQA diamond,GSM8K,HellaSwag,MMLU,Winogrande"
Qwen2.5-1.5B-Instruct,Qwen,113.5,7,0.1209,"ARC AI2,BBH,GPQA diamond,GSM8K,HellaSwag,MMLU,Winogrande"
Qwen2.5-3B-Instruct,Qwen,118.13,7,0.1275,"ARC AI2,BBH,GPQA diamond,GSM8K,HellaSwag,MMLU,Winogrande"
Qwen2.5-7B-Instruct,Qwen,125.59,7,0.1182,"ARC AI2,BBH,GPQA diamond,GSM8K,HellaSwag,MMLU,Winogrande"
Qwen2.5-14B-Instruct,Qwen,131.92,7,0.1142,"ARC AI2,BBH,GPQA diamond,GSM8K,HellaSwag,MMLU,Winogrande"
Qwen2.5-32B-Instruct,Qwen,134.53,7,0.101,"ARC AI2,BBH,GPQA diamond,GSM8K,HellaSwag,MMLU,Winogrande"
Qwen2.5-72B-Instruct,Qwen,135.14,7,0.0939,"ARC AI2,BBH,GPQA diamond,GSM8K,HellaSwag,MMLU,Winogrande"
