,decisiveness,transitivity_fas,transitivity_triad,order_consistency,q_agreement,unidim_fit_brier,unidim_fit_log_loss
base,0.43460676688663563,0.7704842725809109,0.923195284130589,0.4139254759475589,0.5796796279105028,-0.1363740307188677,-0.6099611364189649
goodness,0.23394637291556702,0.6569223111786378,0.8927945934492911,0.28895416158437726,0.6101699322462082,-0.14672221462118357,-0.7088339590638338
humor,0.2322889769510521,0.6572069605267064,0.8841811448559611,0.2869163396954536,0.6518894976058615,-0.1426036477691695,-0.7043662197906517
impulsiveness,0.23002311700958963,0.6439768521622604,0.9151537813255962,0.2375929915308952,0.5541957959984288,-0.16994310835775736,-0.718985661649122
loving,0.37069875842837285,0.7428641342243951,0.9186214185458104,0.3202289076000452,0.5774825036872264,-0.14418200318567484,-0.6436054256159927
mathematical,0.22241761188411388,0.630120799343759,0.9301353767849061,0.1743467013239861,0.6021847508725573,-0.19079246955615925,-0.7222088944498917
nonchalance,0.3058655803898432,0.6967163488590523,0.9140505508075905,0.27253348624706264,0.5699501353965113,-0.15504144266044353,-0.6789516714287417
poeticism,0.31494681471330044,0.723718959123564,0.8844671082981818,0.3693679699003697,0.6635739919783055,-0.11911703918176124,-0.6648651726428583
remorse,0.20760875278662397,0.632684749583033,0.9020398761435615,0.23321594908833498,0.5801942181222293,-0.16721503980273691,-0.7269867990388537
sarcasm,0.18932122342047566,0.620005193159517,0.8922037288591358,0.2567537307739258,0.5935187014008341,-0.15641913259384901,-0.7241113857324266
sycophancy,0.2223186615567226,0.638420786896566,0.9096686277759264,0.21251231038570406,0.6111862791164984,-0.17246648344289586,-0.7180914409545863
