,decisiveness,transitivity_fas,transitivity_triad,order_consistency,q_agreement,unidim_fit_brier,unidim_fit_log_loss
base,0.4346070263531408,0.7703899832065613,0.923195284130589,0.4139254759475589,0.2490658028252794,-0.13637496410473124,-0.6099639465736296
goodness,0.23394718999987632,0.656860426065581,0.8927945934492911,0.28895416158437726,0.027020967107160468,-0.14671954783681906,-0.7088292498803824
humor,0.23228801756293746,0.6572313699045408,0.8841811448559611,0.2869163396954536,-0.11152721785519798,-0.14260506046411126,-0.7043681543548189
impulsiveness,0.23002466295033996,0.6441288403573454,0.9151537813255962,0.2375929915308952,-0.020524951360490654,-0.1699405169264091,-0.718977435373847
loving,0.37069863224614785,0.7428165617426086,0.9186214185458104,0.3202289076000452,-0.10071731864919733,-0.1441831529921498,-0.643607995602344
mathematical,0.22241294893915192,0.6299549247314138,0.9301353767849061,0.1743467013239861,0.08131086207532073,-0.1907911792995752,-0.7222059833690934
nonchalance,0.30586463675621495,0.6967565215712517,0.9140505508075905,0.27253348624706264,0.015528921544130742,-0.15504277861015786,-0.6789549782523356
poeticism,0.314949455474857,0.7237988916573814,0.8844671082981818,0.3693679699003697,-0.06344748898385617,-0.11911939569681165,-0.6648715283095882
remorse,0.20761380224919185,0.6327363561629651,0.9020398761435615,0.23321594908833498,0.0609444708353962,-0.16721667089898182,-0.7269909204097862
sarcasm,0.1893214888323305,0.6199462100517505,0.8922037288591358,0.2567537307739258,0.009768321885833119,-0.15641837245262166,-0.724109870925066
sycophancy,0.2223190159903058,0.6385112952122531,0.9096686277759264,0.21251231038570406,-0.05775315063814803,-0.1724670322553469,-0.7180919287381814
